Date,Close,Open,High,Low,PE,MA20,EMA10,RSI,MACD,Bollinger_High,Bollinger_Low,Close_Mean_10,Close_Std_10,Daily_Return,day_of_week,month,quarter,is_month_end,PE_Close_Corr
1980-01-02,105.760002,107.940002,108.43,105.290001,8.85,107.77249944999998,107.49884866983038,41.120695021548,0.4799372326216655,109.19542421646972,106.34957468353024,107.729,0.7336124317472332,-0.0201964050361979,2,1,1,0,0.5837277157500004
1980-01-03,105.220001,105.760002,106.080002,103.260002,8.85,107.69399945,107.08451272986122,38.15062615445665,0.2614517127397278,109.4575342292525,105.93046467074753,107.4209998,1.0469041728467152,-0.0051059095101,3,1,1,0,0.3532261335445014
1980-01-04,106.519997,105.220001,107.080002,105.089996,8.85,107.6574993,106.98187350625008,47.905659392811614,0.1909974767895903,109.48532727933345,105.82967132066656,107.2529998,1.0427956299248236,0.0123550274438792,4,1,1,0,0.1675938137933236
1980-01-07,106.809998,106.519997,107.800003,105.800003,8.85,107.5979992,106.9506234142046,49.80750135325559,0.1567556625632562,109.45460481758133,105.74139358241868,107.1079994,0.9865062108329492,0.0027225028930482,0,1,1,0,0.1019266279882927
1980-01-08,108.949997,106.809998,109.290001,106.290001,8.85,107.6694992,107.31414588434922,61.09480552568244,0.2988538119578692,109.6165220968439,105.72247630315609,107.2439995,1.1418515519445476,0.0200355682058903,1,1,1,0,0.0866820149737831
1980-01-09,109.050003,108.949997,111.089996,108.410004,8.85,107.73849945,107.629756269013,61.530185723334704,0.4147562160481328,109.77639349077756,105.70060540922243,107.3829994,1.2749642206786784,0.0009179073222003,2,1,1,0,0.090528921484268
1980-01-10,109.889999,109.050003,110.860001,108.470001,8.85,107.8584995,108.04070949282882,65.06641254066798,0.5678446042550576,110.0965458672668,105.6204531327332,107.5939994,1.502295731653526,0.007702851690889,3,1,1,0,0.1101950263686607
1980-01-11,109.919998,109.889999,111.160004,108.889999,8.85,107.97849955,108.38239831231448,65.18948043571132,0.6837075681863638,110.38230692968648,105.57469217031354,107.7899993,1.6734590377785266,0.0002729911754755,4,1,1,0,-0.0044433460364164
1980-01-14,110.379997,109.919998,111.440002,109.339996,8.85,108.1139995,108.74559807371185,67.10324887186852,0.8033869323127476,110.7291959232225,105.4988030767775,108.0439994,1.863825643612888,0.0041848526962309,0,1,1,0,0.0716706262357212
1980-01-15,111.139999,110.379997,111.93,109.449997,8.85,108.22499955,109.18094369667332,70.03443799453304,0.9486243494224595,111.13899614677824,105.31100295322176,108.3639991,2.1033046551689183,0.0068853236152923,1,1,1,0,0.1596397702276727
