Date,Close,Open,High,Low,PE,MA20,EMA10,RSI,MACD,Bollinger_High,Bollinger_Low,Close_Mean_10,Close_Std_10,Daily_Return,day_of_week,month,quarter,is_month_end,PE_Close_Corr
1960-02-10,55.490002,55.490002,55.490002,55.490002,17.55,56.6850003,56.0632584539393,31.95690725159092,-0.8598346199230704,58.43836859103391,54.93163200896609,55.9740003,0.44222137191510885,-0.006267872492836779,2,2,1,0,0.6198187402728417
1960-02-11,55.18,55.18,55.18,55.18,17.55,56.5240002,55.90266600776851,29.887143476009626,-0.8770279567283907,58.207857453333126,54.84014294666688,55.87900019999999,0.5028681894896976,-0.005586628019944917,3,2,1,0,0.6473527650362109
1960-02-12,55.459999,55.459999,55.459999,55.459999,17.55,56.378000099999994,55.822181097265144,34.04239740815345,-0.8581677965989059,57.89047590132796,54.86552429867203,55.864,0.5139000248649983,0.005074284160927922,4,2,1,0,0.6763777173003791
1960-02-15,55.169998,55.169998,55.169998,55.169998,17.55,56.24200005,55.70360235230784,31.931592093122234,-0.8567456107812319,57.67316205173262,54.810838048267385,55.7849999,0.5564622309244861,-0.00522901199475323,0,2,1,0,0.7067008501996052
1960-02-16,54.73,54.73,54.73,54.73,17.55,56.115000050000006,55.52658374279732,28.99411929547739,-0.8809674354450863,57.60817811239019,54.62182198760982,55.5759999,0.5155193187466491,-0.007975312959047076,1,2,1,0,0.7313520439115864
1960-02-17,55.029999,55.029999,55.029999,55.029999,17.55,56.013,55.43629560774326,33.48689067271907,-0.8659735894074245,57.509998717435494,54.5160012825645,55.4469998,0.46785706364346463,0.005481436141056006,2,2,1,0,0.7539549988825669
1960-02-18,55.799999,55.799999,55.799999,55.799999,17.55,55.94250000000001,55.50242349724448,43.388004740987384,-0.7829331278177207,57.33664372429945,54.54835627570057,55.3999997,0.39372877015222496,0.013992368053650228,3,2,1,0,0.7556590737857288
1960-02-19,56.240002,56.240002,56.240002,56.240002,17.55,55.88550005,55.63652867956366,48.13882661952361,-0.6738506678506582,57.12447559850937,54.646524501490624,55.4259999,0.4419206203248943,0.007885358564253764,4,2,1,0,0.741423702024466
1960-02-23,55.939999,55.939999,55.939999,55.939999,17.55,55.84350005,55.691705101461174,45.34472799994513,-0.6046398554223202,57.01336019660049,54.67363990339952,55.4879998,0.46811249028124274,-0.005334334803188567,1,2,1,0,0.729024266913238
1960-02-24,55.740002,55.740002,55.740002,55.740002,17.55,55.7875001,55.700486355740956,43.53077834194704,-0.5594785538853273,56.860587383497794,54.71441281650221,55.477999999999994,0.4607680472163546,-0.0035752056413158595,2,2,1,0,0.7216016569541174
1960-02-25,55.93,55.93,55.93,55.93,17.55,55.74800005000001,55.7422161092426,45.75101995290999,-0.5025634081924153,56.73563609673206,54.76036400326796,55.5219998,0.48253553329329,0.0034086471686887165,3,2,1,0,0.7097456287469922
